black car in the middle



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































target disappeared






































































































































black car on the right
















black car in the middle












































































































































































































black car on the right


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































target disappeared
















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































black car on the left






















































































































































































black car in the middle




































































































































































target disappeared









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































black car on the right














































































































































































































































































































































































































































































